Gene Symbol,lacZ 1,lacZ 2,lacZ 3,lacZ 4,lacZ 5,lacZ 6,HA cont 1,HA cont 2,HA cont 3,HA cont 4,HA chol 1,HA chol 2,HA chol 3,HA chol 4,HA bor 1,HA bor 2,HA bor 3,HA bor 4
Hsp90aa1,0.394047379,0.698889982,-0.057861103,-0.058913188,-0.076609464,0.125833625,0.122471622,0.050221699,0.141399223,-0.183956673,0.049467748,0.334476345,0.329502999,0.425134206,0.292953196,0.843910311,0.262486708,2.28661589
Snd1,0.024779341,0.489857168,-0.885884393,-0.323832949,-0.683917799,0.292417121,0.192141115,0.061842359,-0.345056981,-0.176888719,0.43610764,0.108820289,0.142079874,0.064846766,0.407150045,0.29935879,-0.014710993,0.806820668
Rps14,-0.233180795,0.235771919,-0.342929556,0.596917045,-0.433426302,0.459042077,0.110423761,0.022307343,0.67093297,0.549818521,0.281649516,0.00041253,0.847102727,1.052240432,-1.26339058,-1.076211514,0.118462211,2.435430948
Cyp2c37,-0.427822248,0.005519955,-0.256702073,0.178396206,-0.401099121,0.709851805,-0.255730252,-0.889540171,-0.374089335,-0.073268697,-0.510712241,-0.3717386,0.0211876,0.228282019,-0.45418431,-0.021268642,-1.056979709,0.021535576
Gnb2l1,-0.101629205,0.384814208,-1.225731517,0.048244588,-0.224252263,0.351363048,0.166899175,0.007877097,0.027514331,0.101572747,0.033792505,0.017434114,0.89701701,0.108599329,0.018154109,0.163374459,0.286827674,0.847517849
Ppib,-0.076466758,1.083939547,-1.71755508,0.07272777,-0.093268517,0.873691997,0.889131961,0.125007901,-0.463040092,-0.200704297,0.667276502,0.508633574,-0.037316531,0.433821418,-0.230251136,0.166175953,0.070442613,0.48992342
Rpl12,0.153766236,0.7964904,-0.550971422,0.110605261,-0.756027866,0.140268249,0.503720035,0.387395917,-0.027669878,0.007688674,0.513927334,0.534424255,0.340156871,0.480357188,-0.453964462,-0.354212652,-0.028544002,1.162286438
Hist1h2bf,0.122466923,1.025756538,-2.451263149,0.233570866,-0.314244663,0.334965472,0.058849916,-0.149696632,0.432212415,-0.158102493,-0.471011901,0.854455451,-0.003718454,0.468529152,0.638198445,0.082259655,1.624900397,2.108513394
Rpl5,0.21825733,0.974617951,-0.782343834,-0.126763132,-0.753826961,0.12188913,0.688527627,0.453739627,-0.035408004,-0.161310573,0.826398792,0.491822271,0.130496904,0.49649263,-0.326164777,-0.396381628,-0.742792174,0.14215174
Atp5b,0.722696247,0.939554704,-1.420493861,0.337310123,-0.048183191,0.61950373,-0.058074315,0.183863539,1.095002688,0.226690095,0.690836828,0.286871116,0.380932835,1.131940543,0.082173879,0.616502852,2.116638548,3.212843882
Rpl15,-0.011455034,0.377524986,-0.109757515,-0.130803047,-0.841654235,-0.00516585,0.285489338,0.076754591,0.16990922,0.400606616,0.643514418,0.299667768,0.361751475,0.533829359,-0.760578382,-0.457694123,-0.932221914,-0.580616802
Pdia4,-0.206546529,0.885274191,-1.568509943,-0.133024516,-0.817508768,0.66463043,0.331676937,-0.076245389,-0.36810318,-0.424644928,0.511978314,0.066653882,-0.434822767,0.202703549,0.376905846,0.683601235,-0.345592849,0.752796755
Rpl36a,-0.064294542,0.332410791,-0.317757938,0.027154206,-0.847561143,-0.004077319,0.29390045,0.133069794,0.032876032,-0.078133139,0.388899152,0.116999324,0.158976683,0.599847957,-1.262063266,-1.103148498,-0.251317592,1.462162089
Vcp,0.678713031,0.793681823,-1.191780476,0.353464739,0.885586434,0.754583284,-0.001430795,0.146123238,0.871522214,0.513010055,-0.052482974,0.352396323,1.004985239,0.976031915,0.395563618,1.217786753,1.453692004,3.032583253
Rpl9,-0.14780652,0.851330596,-0.981721266,0.06543024,-0.290132416,0.262228673,0.63736344,0.337999582,-0.055940256,0.361800441,0.70176053,0.409959907,0.581257282,0.494325355,-1.038866144,-0.6571048,-0.581858028,-0.048068134
Hsp90ab1,0.552505046,0.684531666,-0.36390824,-0.434008199,-0.418917044,-0.258883646,-0.147319963,0.076622015,0.178992864,-0.02572141,0.460755918,0.060085818,0.0040019,0.342896877,0.347090634,0.498197893,0.582691199,2.19961561
Rpl3,0.069878736,0.640179224,-0.4431792,-0.062856338,-0.913231802,-0.129858961,0.34429246,0.214112349,0.100779595,-0.004763794,0.543893918,0.291826112,0.153664166,0.462416632,-0.732827951,-0.402678887,-0.248830915,-0.25195848
Rps8,0.066997433,0.446481553,-0.712561357,0.030912816,-0.763281744,-0.02669092,0.327298838,0.058225819,0.085699324,0.338418023,0.523191847,0.170444873,0.363194223,0.547758275,-1.091628323,-1.166383222,-1.422838805,-0.306373003
Gstm1,-1.090446872,0.055220056,0.045008563,0.485534502,0.336468112,1.147105832,-0.683551845,-0.825210806,-0.357871008,-0.419535326,-1.282300346,-1.108269721,-0.006007728,0.312005272,0.393811968,-0.527923313,-0.741029985,0.124815412
Tubb4b,0.877053117,-0.21829095,0.126692239,-0.371791974,-0.301858397,0.001764259,-0.364585882,-0.079528347,0.610275571,0.084780065,0.079759002,-0.097546721,0.132894143,0.888899663,0.110620978,-0.211644357,0.640130495,2.275623293
Ahnak,2.176319569,0.353703348,-0.130763324,0.355691661,0.599677759,0.111819619,0.070853037,0.190680437,0.837377803,-0.006137538,-0.415071435,0.826711478,0.529588994,0.79080525,0.535053606,1.634596565,2.06684886,1.335446245
Rpl17,0.168591746,0.521151648,-0.503642055,-0.002391819,-1.021733848,-0.215622263,0.562305711,0.198967071,-0.160005242,0.091271269,0.515297459,0.356842906,0.247665603,0.426039523,-0.84570587,-0.935712599,-1.006689194,-0.30178034
Cyp2c29,-0.159224819,0.344044271,-1.164487564,0.044515417,-0.749682113,0.401802208,-0.404307526,-0.409135425,-0.053782291,-0.067285481,-0.256782366,-0.339862075,0.145818642,0.236728598,0.028434297,0.3862337,-0.112169865,0.501044469
Bhmt,-1.156945855,-0.156475505,0.317623208,-0.508183112,-0.56940258,0.421234758,0.205348149,-0.555051379,0.039141501,-0.294241625,-0.239884574,-0.102719871,0.444097612,0.066770617,0.316275403,-0.227334816,0.024295344,0.318824557
Selenbp2,-0.698875772,0.433674354,-0.118339065,-0.195042263,-0.191899227,1.094811377,0.552381132,-0.730707005,-0.445362415,-0.458282252,-0.057917554,-0.025051968,-0.297803668,0.33311714,-0.140488392,-0.135288934,-0.389831525,1.367980739
Rplp0,0.102821416,0.513537235,-0.715386848,0.609823542,0.230627846,0.644177452,0.422068357,0.460565619,0.285628157,1.163101094,0.60036365,0.502770603,1.254135147,0.768066269,-0.67769723,-0.633011271,-0.468310988,0.640671933
Rpl14,-0.211378773,0.653360384,-0.935557203,-0.23171805,-0.780114964,-0.053087586,0.64622101,0.501877121,-0.037976257,-0.014616981,0.759038921,0.409005371,0.087539177,0.615776892,-0.692760333,-0.803611212,-1.350883448,-0.186809798
Rps20,0.102771392,0.379430363,-0.057783497,0.080853428,0.040174232,0.221330459,0.391337901,0.279037865,0.319121643,0.361258351,0.653312012,0.413643468,0.422889333,0.56516513,-0.575482288,-0.717372403,-0.433383581,3.419186998
Ces2a,-0.489887926,0.504472246,-0.422297852,0.252646565,-0.311397546,0.967369476,-0.12059499,-0.542348397,-0.669490447,-0.063922716,-0.302871809,-0.40192172,-0.183789797,0.21494679,0.107982187,0.575838243,-0.266819497,0.990196533
Rpl6,-0.069699565,0.760298473,-0.710938931,-0.200544044,-0.838320551,-0.145637303,0.648893677,0.41390923,0.012232757,0.052654377,0.66341968,0.413574168,0.226004564,0.587161611,-0.981754978,-0.98651336,-1.026825028,-0.322370353
Ces1,0.1215799,0.509239425,-1.562077543,0.356797748,-0.418433365,1.110350811,0.489480636,-0.163027596,-0.343252466,-0.201543649,-0.060121887,-0.013471866,0.366343627,0.278266646,0.037037089,-0.113434344,-0.977015604,0.850437087
Ugt2b34,-0.816112826,0.215834255,-1.462807643,0.306868244,-0.769240038,0.61189573,-0.30889517,-0.396571158,0.04850817,0.414540263,-0.110207676,-0.381867814,0.514955312,0.382193298,-0.035373092,0.363763968,-0.486505278,0.573212067
Arpc4,-0.174715757,-0.715974683,0.563862472,0.544816864,1.523668042,0.493425447,-0.814848356,-0.601757169,0.364732847,0.475304826,-0.922486069,-0.197071984,0.491592145,0.663467416,-0.767041019,-0.505116073,0.965533117,0.585355476
Prdx1,-0.186296416,-0.130837341,0.468586107,-0.082038614,0.168364184,-0.053648672,-0.328714094,-0.3523866,0.030832614,-0.130197503,-0.015894337,0.020372079,-0.275192155,0.141696329,-0.471502907,0.207635855,0.253990107,-0.356546531
Rpl4,0.067433286,0.396461598,-0.909627903,-0.032884531,-0.783957699,0.241786615,0.495172034,0.077787906,0.052975691,0.036672185,0.465771242,0.169805664,0.267396129,0.435566204,-0.653597856,-0.629039848,-1.284421819,-0.352774192
Aldh3a2,-0.418441375,0.69312843,-1.022974891,0.118515098,-0.538293716,0.645288251,-0.352925623,0.082535522,0.028461396,0.201491078,-0.268712564,-0.123856884,0.527216204,0.359730073,0.328554118,0.5005541,-0.386385776,0.498646779
Hspa2,-0.185342735,-0.049318784,0.141225193,0.09024616,0.064872174,0.311325972,-0.294532809,-0.282013725,0.068447035,-0.026490848,-0.189238376,0.117043288,-0.228022742,0.347143172,0.080521153,-0.063725177,0.82483516,2.319668506
Myh9,-3.003772248,-3.095954241,0.93699978,-0.291487368,0.193948997,-0.738891403,-2.537364764,-1.529275367,-0.514470231,-0.157331599,-3.070883713,-1.503713478,-0.24801885,0.056751141,-3.510384493,-2.701798395,-2.7769811,-3.033822681
Ass1,-1.156094069,-0.130046652,0.04578366,0.166354961,-0.027500075,0.473852347,0.206480143,-0.950731018,-0.473012588,-0.105689823,-0.775635739,-0.934756326,0.738401677,-0.126984795,-0.818623933,-0.382354976,-0.648818793,-0.150946039
Rpl13,-0.140350195,0.560189691,-0.268546451,0.057214501,-0.813497181,0.042828972,0.46910178,0.30934859,-0.080495192,0.154304935,0.435265895,0.336184431,0.275008229,0.453603792,-1.090659465,-0.983327405,-0.354704265,-0.239293157
Rps9,-0.09265698,0.401204323,-0.63661059,0.029953623,-0.710083838,-0.0512819,0.253593953,0.044082593,0.07956847,0.286651867,0.303740552,0.094878007,0.380032204,0.467771084,-1.072012616,-1.208516769,-1.071653434,0.666845628
Rab1A,0.558025265,0.705673601,-0.613027068,-0.139873173,0.616064334,0.493448002,0.194624727,0.306851606,0.222136997,-0.038188287,0.389658959,0.036500002,0.32825406,0.499763446,0.107904663,0.221726383,1.297000927,2.224838764
Ces2g,-0.390188567,0.617283455,-1.856714664,0.063706138,-0.512825147,0.984848863,0.480539175,0.170525985,-0.118226629,-0.262990493,0.285784872,0.026614446,0.543881311,0.048019897,0.178728701,0.169061933,-0.234295513,0.608016793
Atp2a2,0.051476547,0.401808947,-0.718252666,0.156039585,-0.468199832,0.75706394,-0.104224765,0.009603693,0.430564842,0.195187204,0.202548685,0.052307556,0.391091496,0.471434404,0.104272634,0.565309119,0.255664592,1.161951063
Rpl7,-0.057262368,0.700187348,-0.545973147,-0.066796981,-0.906671087,-0.140571268,0.665752373,0.452804361,0.04387695,-0.002861865,0.624143539,0.405216295,0.260892637,0.508657565,-0.875045917,-0.959068189,-1.22496797,-0.231688656
Rpl18,-0.363903455,0.667082759,-0.810999627,0.243801255,-0.631011374,0.512162308,0.398242373,0.39040944,0.376853385,0.388540746,0.412135809,0.411056062,0.633648374,0.627190857,-0.717314702,-0.883599242,-0.64773095,0.129354081
Rps15a,0.125256972,0.447722076,-0.486677814,0.162352083,-0.483154461,0.4598982,0.371600309,0.375899162,0.569489683,0.256229862,0.445912967,0.302325352,0.708573409,0.641510324,-0.625346665,-0.814620329,0.315995159,2.935893032
Cyp2d9,-0.235797457,0.807954244,-1.058238193,-0.060141919,-0.626506334,0.877047039,0.220253335,-0.31083638,-0.643464218,-0.472091462,0.092634846,-0.218745361,-0.432032345,-0.027760765,0.122341154,0.468062356,-0.942279114,0.276539499
Hdlbp,-0.155281445,0.108331916,-0.540605925,-0.163208747,-0.805724083,0.219529131,0.389870681,-0.051117717,0.035028026,0.174643055,0.309197799,0.213055133,0.214127775,0.363938878,-0.133492433,0.001310663,-0.577334807,1.390836412
Tecr,-0.803782455,-0.832501342,-0.132523413,0.917768403,0.054055577,0.537854951,-0.970023176,-0.793574202,0.935805724,0.763415753,-1.465869952,-1.18370316,1.395209217,0.756449865,-0.572484637,-0.477614838,1.473499004,0.228641184
Rps26,0.054316973,0.757540859,-0.548615786,-0.032686459,-0.936332685,-0.206676031,0.373789413,0.199705245,0.174327028,0.183367363,0.610452198,0.185951639,0.22672184,0.373261624,-1.078321554,-0.787058498,-1.015812106,0.564193676
Rpl10a,0.185070755,0.867635261,-0.89648342,0.018766155,-0.484497177,0.009042456,0.869278447,0.591657722,0.062599719,0.433814853,0.771944658,0.563452515,0.605993567,0.616027163,-0.61462049,-0.654031157,-0.579240219,0.262732129
Cyp2d10,-0.123496113,1.179468261,-1.213368524,0.049979205,-0.54836464,0.837664033,0.296534812,-0.121378796,-0.455663386,-0.010476071,0.382874501,-0.074503666,-0.229787243,0.148229212,0.251722626,0.569725815,-0.525876404,0.488273257
Rpl10,0.080068917,0.2708117,-0.528347647,0.676239314,-0.152693796,0.483500462,0.186876575,0.022646372,1.19289368,0.515332598,0.319586996,0.116174842,0.949355844,1.083991716,-1.116821848,-0.996160169,0.559790097,1.071892163
Rab5a,0.701929115,0.57523085,-0.327886152,1.173073915,1.21974319,1.5060214,-0.183827518,-0.094545207,2.06526971,1.999886561,0.41320529,-0.091222149,1.675596285,2.415235996,-0.140374247,0.14935488,1.55904024,2.159655646
Rps2,-0.022664159,0.377789951,-0.034966622,0.113192969,-0.506764962,-0.052693964,0.367301237,0.232074022,0.164195843,0.18665693,0.460477741,0.11868928,0.28076324,0.500693261,-1.090271321,-1.144205329,-0.499603843,1.29838916
Aldoa,2.317860305,1.092539197,-1.022657832,0.166839939,1,0.367376112,0.349860136,0.578959092,0.392448207,0.20580192,0.370285173,0.721267153,-0.160839682,0.852388831,0.46004602,1.150077328,3.246205997,0.371284491
Rps7,-0.011271904,1.111556171,-0.485405128,-0.39334802,-1.160735859,-0.319932625,0.809690542,0.198420959,-0.850198678,-0.958712187,0.481304617,0.516328212,-0.564711081,-0.367481515,-0.167452864,-0.079524208,-0.816530387,-0.471647606
Rps11,0.09543805,0.852183685,-0.438599413,0.186097106,-0.436960657,0.043286473,0.33971527,0.272142861,0.008742169,0.272108439,0.36127167,0.227267561,0.196357716,0.535023047,-0.762921261,-0.900000854,-1.079339078,0.447338263
Rdh7,-0.177547178,0.906149426,-1.049717288,0.211347725,-0.505830459,0.78713791,0.400716229,0.058527765,-0.207174737,-0.202672722,0.236668102,-0.203684014,0.102469237,0.361872256,0.23508338,0.600675861,-0.256953225,0.499584195
Rps19,-0.28247657,0.534441855,-0.363266278,0.510045975,-0.788695254,0.667621109,0.289913784,0.347609725,0.192025167,0.651191476,0.306417177,0.531479004,0.629353661,0.448568859,-0.2531774,-0.890240402,-0.934458021,-0.200362685
Myl6,-1.832180244,-2.668150152,1.428665541,0.11069255,0.542637597,-0.302881538,-1.398266974,-1.063247753,-0.50676988,0.492342209,-2.071055932,-1.13069036,0.301524993,0.32117654,-2.735736212,-2.31263789,-1.492818914,-2.113832078
Rdx,0.121616641,0.485610699,-0.98895648,0.345905828,0.131781297,0.300643689,-0.030291148,-0.035152018,0.702589154,0.200922541,-0.121912286,0.274218075,0.384280194,0.704141133,-0.138565307,0.189098276,0.401835348,1.110192176
Serpinb5,1.513724471,0.576262967,-1.560680364,1.099087246,3.823823499,0.953030349,0.234893332,0.211976195,1.121368303,0.514885069,0.275481089,0.600125955,0.663286527,1.025424419,0.292134543,0.89632335,3.836771449,1.222686156
Cyp2a12,0.00819173,0.745085998,-0.86489976,-0.137977957,-0.412859212,0.325041158,0.72242637,0.048523111,0.040421884,-0.230420429,0.420873135,0.241800119,0.213833787,0.249673181,-0.162472001,0.188885867,-0.052671995,0.433483929
Cyp2d22,0.089258024,0.725692025,-1.383924912,0.225768821,-0.352434014,0.961193534,0.333370628,-0.116321377,-0.041125792,0.217144567,-0.230995863,0.100034849,0.386588015,0.445649257,0.100160992,0.496319502,-0.347790491,0.322708994
Ephx1,-0.386276079,0.654720534,-1.121154129,0.472901052,-0.290004529,0.915860432,0.565224977,-0.072174131,-0.554420056,-0.089917206,0.522056387,-0.159946112,-0.336905838,0.240406244,0.099903324,0.629316619,0.800368541,0.690591101
Lima1,-1.337711583,-0.991448204,1.038038723,-0.156775419,0.42726282,-0.142445631,-1.008351138,-0.553231713,-0.513307232,0.058975363,-1.345799467,-0.570280012,0.334920025,-0.384591194,-1.259913988,-1.367402682,-1.009059282,-0.964830689
Fabp1,-0.831734433,-0.088414379,0.206991485,-0.078285248,-0.442092092,0.852742796,-0.288300704,-0.740842091,-0.513760912,-0.102997304,-0.63100368,-0.846141011,-0.087774043,0.117940927,0.024073404,0.308522587,-0.294945538,0.471837473
